ISSorbit.A1Gregorian       ISSorbit.A1ModJulian      ISSorbit.ElapsedDays      ISSorbit.ElapsedSecs      ISSorbit.EarthMJ2000Eq.X   ISSorbit.EarthMJ2000Eq.Y   ISSorbit.EarthMJ2000Eq.Z   ISSorbit.EarthMJ2000Eq.VX   ISSorbit.EarthMJ2000Eq.VY   ISSorbit.EarthMJ2000Eq.VZ   
01 Jan 2000 12:00:00.034   21545.00000039794         0                         0                         6774.94874385              0                          0                          0                           4.761456549124307           6.016129446772675           
01 Jan 2000 12:01:00.034   21545.00069484238         0.0006944444430700969     59.99999988125637         6759.301736043346          285.4675470699721          360.6889259478975          -0.5213648485641678         4.750464487228619           6.002191949826739           
01 Jan 2000 12:02:23.728   21545.00166352038         0.001663122438912978      143.6937787220813         6685.36935785574           681.1745077357416          860.655603237253           -1.244039439976358          4.698517454792348           5.936354224584812           
01 Jan 2000 12:03:53.954   21545.00270780433         0.002707406394620193      233.9199124951847         6538.425418496593          1100.811070478288          1390.830078629342          -2.010345708274269          4.595269817924359           5.805512028235056           
01 Jan 2000 12:05:24.849   21545.00375982544         0.003759427501790924      324.8145361547358         6321.388720768893          1511.929241274951          1910.198041952215          -2.760979537197112          4.442780478900138           5.612280112557913           
01 Jan 2000 12:06:55.826   21545.00481280026         0.004812402323295828      415.7915607327595         6037.112947797233          1907.385283337263          2409.718383733425          -3.482858538835592          4.243069065245938           5.359223585841218           
01 Jan 2000 12:08:26.770   21545.00586539879         0.00586500085046282       506.7360734799877         5688.93023348598           2282.47902568293           2883.438742633833          -4.167376264970045          3.998496492278076           5.049340713348775           
01 Jan 2000 12:08:57.396   21545.00621986648         0.006219468545168638      537.3620823025703         5557.904618405359          2403.539939027689          3036.309811501985          -4.388255513538184          3.906471020899716           4.932745537782778           
01 Jan 2000 12:09:26.879   21545.00656110208         0.006560704139701556      566.8448376702145         5425.453634837122          2517.352761690995          3180.016772893823          -4.595886547648344          3.813450090609339           4.814891653084557           
01 Jan 2000 12:10:14.686   21545.00711442136         0.007114023421308957      614.6516236010939         5197.899154439826          2695.885291883521          3405.417001518726          -4.921536764454141          3.653650364806658           4.612437590342053           
01 Jan 2000 12:11:24.121   21545.00791806212         0.007917664184788009      684.086185565684          4840.472296764937          2940.987742454541          3714.800725231039          -5.36850234216992           3.402678542926108           4.294490951554273           
01 Jan 2000 12:12:52.013   21545.00893533872         0.008934940786275547      771.9788839342073         4345.456515334992          3225.019385975491          4073.203981390683          -5.88627297454047           3.055150541816821           3.854253956444515           
01 Jan 2000 12:14:22.638   21545.00998423125         0.009983833308069734      862.603197817225          3790.109297115614          3484.453223826012          4400.406174998617          -6.358989389032459          2.665325401228597           3.360485656561526           
01 Jan 2000 12:15:53.650   21545.01103761752         0.01103721958133974       953.6157718277536         3192.294818320439          3708.134645797572          4682.319639747587          -6.766342061380221          2.245739876942937           2.829085292563654           
01 Jan 2000 12:17:24.679   21545.01209118723         0.01209078929605312       1044.644195178989         2560.531322328991          3892.543233778919          4914.497673040993          -7.101946697325053          1.802360682238596           2.267628549322228           
01 Jan 2000 12:18:55.820   21545.01314605911         0.01314566117071081       1135.785125149414         1900.795368851018          4035.839674921891          5094.617298693426          -7.36248345725798           1.339364458626418           1.681423264847532           
01 Jan 2000 12:20:26.938   21545.0142006729          0.01420027495987597       1226.903756533284         1221.030785925845          4136.234798072301          5220.424112846549          -7.544725143790094          0.8623024845310984          1.077516619451816           
01 Jan 2000 12:21:58.025   21545.01525492187         0.01525452392888838       1317.990867455956         528.5409855471868          4192.693788324255          5290.618623848869          -7.646814880915653          0.3762705455342981          0.4623773749343179          
01 Jan 2000 12:23:29.193   21545.0163101011          0.01630970316182356       1409.158353181556         -170.1733904300849         4204.650641317965          5304.49470310527           -7.667740142039993          -0.1142039030592539         -0.1582463676043401         
01 Jan 2000 12:25:00.331   21545.0173649397          0.01736454176352709       1500.29640836874          -866.8541120009858         4171.923436298982          5261.836958721875          -7.607177540843896          -0.6033613735889759         -0.7770491064883014         
01 Jan 2000 12:26:31.432   21545.01841935591         0.01841895797406323       1591.397968959063         -1554.050546171907         4094.904006772049          5163.156088766435          -7.465834534888061          -1.086006283896005          -1.387441201857704          
01 Jan 2000 12:28:02.513   21545.01947352467         0.0194731267329189        1682.478149724193         -2224.587579600754         3974.429677398451          5009.527486284457          -7.245218652531505          -1.557129627412284          -1.983071277934855          
01 Jan 2000 12:29:33.625   21545.0205280709          0.02052767296481761       1773.590944160242         -2871.729832298346         3811.688865777509          4802.471442314637          -6.947469571382349          -2.012022063709539          -2.557969013267122          
01 Jan 2000 12:31:04.653   21545.02158162706         0.02158122912442195       1864.618196350057         -3487.784475861684         3608.641902299676          4544.487977063035          -6.57613359982128           -2.445290511506713          -3.105302612136689          
01 Jan 2000 12:32:35.724   21545.0226356909          0.02263529296396882       1955.689312086906         -4067.090242924531         3367.170336292457          4237.975149145282          -6.134611730188217          -2.852959570572919          -3.620034155141124          
01 Jan 2000 12:33:29.699   21545.02326040441         0.02326000647371984       2009.664559329394         -4390.404615695753         3206.987881299459          4034.766445032342          -5.841742925916289          -3.080605609107446          -3.907326057816613          
01 Jan 2000 12:34:21.883   21545.02386438259         0.02386398465387174       2061.848274094518         -4687.403745906519         3040.723612392172          3823.920334061882          -5.537758585905864          -3.289813994150379          -4.171241303645632          
01 Jan 2000 12:35:32.407   21545.02468063496         0.02468023702022038       2132.37247854704          -5062.582848182243         2799.260003571451          3517.828290701552          -5.096282898630786          -3.554238078177112          -4.504628026134012          
